#;;x;;;;;;;;;;;;x
REC.0151;Confirmation relique;;;;;;;;;;;;;x
DESCREC.0151;;On nous a rapporté que la province de [From.Location.GetName] abrite une Sainte Relique répertoriée par l'Eglise Catholique. Cet objet revêt une grande importance pour les fidèles de cette religion. Elle peut faire l'objet d'un culte particulier voire donner lieu à des pélérinages.;;;;;;;;;;;;;x
EVTTOOLTIPREC.2302B;;Le verrier s'en va et ne manquera pas de revenir;;;;;;;;;;;;x
REC.2302C;;Ce serai gaspiller de l'argent;;;;;;;;;;;;x
DESCREC.2304;;Votre verrier vous présente sa réalisation.\n Tous les gens autour de vous sont en émoi, même la brute du village se met à pleurer devant une telle beauté.;;;;;;;;;;;;x
REC.2304A;;J'aime son vitrail;;;;;;;;;;;;x
DESCREC.2305;;Votre verrier vous présente sa réalisation.\n Les gens autour de vous sont partagés. Certains l'aiment mais d'autres trouvent qu'elle est somme toute banal.;;;;;;;;;;;;x
REC.2305A;;J'accepte le vitrail mais il devra refaire ses preuves.;;;;;;;;;;;;x
verrier_retour_base;;Le verrier va faire des travaux plus simple avant de revenir à la charge avec une nouvelle idée de chef d'œuvre.;;;;;;;;;;;;x
REC.2305B;;Je vais lui donner l'occasion de faire mieux;;;;;;;;;;;;x
REC.2305C;;Je ne veux plus qu'il fasse d'œuvres;;;;;;;;;;;;x
DESCREC.2306;;Votre verrier vous présente sa réalisation.\n Tous les gens autour de vous sont effarés devant la laideur du résultat. Même l'aveugle du village trouve cela moche.;;;;;;;;;;;;x
REC.2306A;;Je vais lui donner l'occasion de faire mieux;;;;;;;;;;;;x
REC.2306B;;Je ne veux plus qu'il fasse d'œuvres;;;;;;;;;;;;x
REC.2306C;;Qu'on l'emprisonne;;;;;;;;;;;;x
DESCREC.2307;;Un verrier de votre cour vous sollicite pour financer la création d'un vitrail de taille moyenne qui devrait être magnifique.;;;;;;;;;;;;x
DESCREC.2308;;Un verrier de votre cour vous sollicite pour financer la création d'un grand vitrail qui devrait être magnifique.;;;;;;;;;;;;x
DESCREC.2310;;Une rumeur d'un autre comté fait état d'une splendide vitrail réalisée pour une cathédrale.;;;;;;;;;;;;x
REC.2310A;;Envoyer un faux voyageur pour aller y voir de plus près.;;;;;;;;;;;;x
REC.2310B;;D'autres choses me préoccupent davantage pour le moment.;;;;;;;;;;;;x
REC.2310C;;Je n'ai que faire des vitraux.;;;;;;;;;;;;x
EVTTOOLTIPREC.2310A;;Le faux voyageur partira enqueter;;;;;;;;;;;;x
DESCREC.2311;;Le faux voyageur que vous avez envoyé il y a environ 2 ans est de retour.;;;;;;;;;;;;x
REC.2311A;;La rumeur était infondée, le vitrail n'a rien d'un chef d'œuvre.;;;;;;;;;;;;x
DESCREC.2313;;Le faux voyageur que vous avez envoyé il y a longtemps a pris contact avec le verrier ayant réalisé le chef d'œuvre.\n Quel ordre lui avez-vous transmis?;;;;;;;;;;;;x
REC.2313A;;Soudoyer des gens importants pour qu'il ne fasse plus rien de bien.;;;;;;;;;;;;x
REC.2313B;;Soudoyer le verrier pour qu'il vienne faire des vitraux pour vous.;;;;;;;;;;;;x
REC.2313C;;Tuer le verrier.;;;;;;;;;;;;x
REC.2313D;;Aucun, il ne va pas aller plus loin.;;;;;;;;;;;;x
DESCREC.2322;;Mon faux voyageur a réussi, le verrier ne fera plus rien de bien pour notre rival.\n De plus notre rival ignore qui est derrière tout cela;;;;;;;;;;;;x
REC.2322A;;Le subterfuge du faux voyageur a marché à merveille.;;;;;;;;;;;;x
DESCREC.2323;;Mon faux voyageur a réussi, le verrier ne fera plus rien de bien pour notre rival.\n Mais notre rival sait que l'on est derrière tout cela;;;;;;;;;;;;;x
REC.2323A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2324;;Mon faux voyageur a échoué, mais il n'a pas divulgué mon nom sous la torture.;;;;;;;;;;;;x
REC.2324A;;Au moins il n'a pas parlé;;;;;;;;;;;;x
DESCREC.2325;;Mon faux voyageur a échoué et il a pas divulgué mon nom sous la torture.;;;;;;;;;;;;x
REC.2325A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2326;;Mon faux voyageur a réussi, le verrier a rejoint ma cour et mon rival ignore où il est parti;;;;;;;;;;;;x
REC.2326A;;Le subterfuge du faux voyageur a marché à merveille.;;;;;;;;;;;;x
DESCREC.2327;;Mon faux voyageur a réussi, le verrier a rejoint ma cour mais mon rival sait qu'il est à ma cour;;;;;;;;;;;;x
REC.2327A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2328;;Mon faux voyageur a réussi, le verrier n'est plus et tout le monde ignore qui est derrière cela;;;;;;;;;;;;x
REC.2328A;;Le subterfuge du faux voyageur a marché à merveille.;;;;;;;;;;;;x
DESCREC.2329;;Mon faux voyageur a réussi, le verrier n'est plus mais le faux voyageur a divulgué mon nom sous la torture;;;;;;;;;;;;x
REC.2329A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2330;;Sous le règne de leur précédent seigneur, de nombreux verriers se sont vus interdire de faire de coûteux chef d'œuvres. Voulez-vous les y autoriser de nouveau?;;;;;;;;;;;;x
REC.2330A;;Autoriser les verriers à faire des chef d'œuvres;;;;;;;;;;;;x
REC.2330B;;Ne pas les autoriser à faire des chef d'œuvres;;;;;;;;;;;;x
DESCREC.2331;;Après la réalisation d'un immense vitrail de toute beauté, un maître verrier souhaite fonder une guilde de verrier.;;;;;;;;;;;;x
REC.2331A;;Bien sûr, j'en suis ravi;;;;;;;;;;;;x
REC.2331B;;Non, je ne veux plus voir de verriers ici une fois la cathédrale finie;;;;;;;;;;;;x
DESCREC.2332;;A qui vais-je offrir un vitrail?;;;;;;;;;;;;x
REC.2332A;;A son chef religieux;;;;;;;;;;;;x
TOOLTIPRECAUCUNEFFET;;§RCela n'apportera aucun effet sur l'opinion§!;;;;;;;;;;;;x
REC.2332B;;A mon suzerain;;;;;;;;;;;;x
REC.2332C;;A un vassal;;;;;;;;;;;;x
TOOLTIPREC.2332C;;Vous pouvez dorénavant réfléchir à quel vassal offrir un vitrail.;;;;;;;;;;;;x
REC.2332D;;A un membre de ma famille;;;;;;;;;;;;x
TOOLTIPREC.2332D;;Vous pouvez dorénavant réfléchir à quel membre de votre famille offrir un vitrail.;;;;;;;;;;;;x
DESCREC.2333;;A quel rang de vassal vais-je offrir un vitrail?;;;;;;;;;;;;x
REC.2333A;;A un vassal Roi;;;;;;;;;;;;x
TOOLTIPREC.2333A;;Vous pouvez dorénavant réfléchir à quel vassal de rang Roi offrir un vitrail.;;;;;;;;;;;;x
REC.2333B;;A un vassal Duc;;;;;;;;;;;;x
TOOLTIPREC.2333B;;Vous pouvez dorénavant réfléchir à quel vassal de rang Duc offrir un vitrail.;;;;;;;;;;;;x
REC.2333C;;A un vassal Comte;;;;;;;;;;;;x
TOOLTIPREC.2333C;;Vous pouvez dorénavant réfléchir à quel vassal de rang Comte offrir un vitrail.;;;;;;;;;;;;x
REC.2333D;;A un vassal Baron;;;;;;;;;;;;x
TOOLTIPREC.2333D;;Vous pouvez dorénavant réfléchir à quel vassal de rang Baron offrir un vitrail.;;;;;;;;;;;;x
DESCREC.2334;;A quel vassal de ce rang vais-je offrir un vitrail?;;;;;;;;;;;;x
REC.2334A;;Offrir un vitrail à ce vassal;;;;;;;;;;;;x
TOOLTIPREC.2334A;;Ce vassal recevra mon vitrail;;;;;;;;;;;;x
REC.2334B;;Offrir un vitrail à un autre vassal;;;;;;;;;;;;x
TOOLTIPREC.2334B;;Ce vassal ne recevra pas mon vitrail;;;;;;;;;;;;x
REC.2334C;;Je n'ai pas d'autre vassal de ce rang;;;;;;;;;;;;x
DESCREC.2338;;A quel membre de ma famille vais-je offrir un vitrail?;;;;;;;;;;;;x
REC.2338A;;Offrir un vitrail à mon époux/épouse;;;;;;;;;;;;x
REC.2338B;;Offrir un vitrail à un enfant;;;;;;;;;;;;x
TOOLTIPREC.2338B;;Vous pouvez dorénavant réfléchir à quel enfant offrir un vitrail;;;;;;;;;;;;x
REC.2338C;;Offrir un vitrail à un frère ou une sœur;;;;;;;;;;;;x
REC.2338D;;Offrir un vitrail à sa mère;;;;;;;;;;;;x
DESCREC.2339;;A quel enfant vais-je offrir un vitrail?;;;;;;;;;;;;x
REC.2339A;;Offrir un vitrail à cet enfant;;;;;;;;;;;;x
TOOLTIPREC.2339A;;Cet enfant recevra mon vitrail;;;;;;;;;;;;x
REC.2339B;;Offrir un vitrail à un autre enfant;;;;;;;;;;;;x
TOOLTIPREC.2339B;;Cet enfant ne recevra pas mon vitrail;;;;;;;;;;;;x
REC.2339C;;Je n'ai pas d'autres enfants;;;;;;;;;;;;x
DESCREC.2340;;A quel frère ou sœur vais-je offrir un vitrail?;;;;;;;;;;;;x
REC.2340A;;Offrir un vitrail à ce frère ou cette sœur;;;;;;;;;;;;x
TOOLTIPREC.2340A;;Ce frère ou cette sœure recevra mon vitrail;;;;;;;;;;;;x
REC.2340B;;Offrir un vitrail à un autre frère ou sœur;;;;;;;;;;;;x
TOOLTIPREC.2340B;;Ce frère ou cette sœure ne recevra pas mon vitrail;;;;;;;;;;;;x
REC.2340C;;Je n'ai pas d'autre frère ou sœur;;;;;;;;;;;;x
DESCREC.2342;;En cherchant à qui offrir mon vitrail, personne ne correspond à mes critères.;;;;;;;;;;;;x
REC.2342A;;Je vais réfléchir à nouveau à qui l'offrir;;;;;;;;;;;;x
REC.2342B;;Finalement, je vais garder le vitrail pour moi;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
soutien_noble_nature1;;Vous recevez un ensemble de vitraux représentant la Sainte Trinité.;;;;;;;;;;;;x
soutien_noble_nature2;;Vous recevez une statue taillée dans un marbre blanc nacré.;;;;;;;;;;;;x
soutien_noble_nature3;;Vous recevez une trio de gargouilles en granite rose dont le visage de l'une d'entre elles ressemble à s'y méprendre à votre évêque...;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
soutien_noble_nature1;You receive a set of stained glass windows depicting the Holy Trinity;Vous recevez un ensemble de vitraux représentant la Sainte Trinité.;;;;;;;;;;;;x
soutien_noble_nature2;You receive a statue carved from a pearly white marble.;Vous recevez une statue taillée dans un marbre blanc nacré.;;;;;;;;;;;;x
soutien_noble_nature3;You receive a trio of pink granite gargoyles one whose face has an eery resemblance to your bishop ...;Vous recevez une trio de gargouilles en granite rose dont le visage de l'une d'entre elles ressemble à s'y méprendre à votre évêque...;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
bourse_soulagee;There we go! That ought to come lighten our purse;Voilà qui devrait venir alléger notre bourse.;;;;;;;;;;;;x
bourse_remplie;Some trinkets in addition to the treasure is never bad.;Quelques pièces venant s'ajouter au trésor ne font jamais de mal.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
